fips,Fall,Spring,Summer,Winter,max_warming_season,Annual,state_code,state_name,gnis_id
1,-0.19566843,-0.105862434,-0.325008818,0.458525573,Winter,-0.035047619,AL,Alabama,1779775
4,1.203950617,1.384479718,1.274455026,1.388388007,Winter,1.319880071,AZ,Arizona,1779777
5,-0.042539683,0.266398589,0.05859612,0.532246914,Winter,0.214074074,AR,Arkansas,68085
6,1.570920635,1.449241623,1.478335097,1.412430335,Fall,1.480560847,CA,California,1779778
8,1.055308642,1.436910053,1.367844797,1.838758377,Winter,1.438589065,CO,Colorado,1779779
9,1.453093474,1.543407407,1.580627866,2.633975309,Winter,1.801492063,CT,Connecticut,1779780
10,1.378948854,1.537848325,1.522878307,2.201001764,Winter,1.66168254,DE,Delaware,1779781
12,1.076585538,0.860797178,0.914455026,1.300232804,Winter,1.034878307,FL,Florida,294478
13,0.251216931,0.174462081,-0.016056437,1.109361552,Winter,0.384049383,GA,Georgia,1705317
16,0.686631393,1.004867725,1.072719577,1.409904762,Winter,1.046917108,ID,Idaho,1779783
17,0.557305115,1.15329806,0.217481481,1.308740741,Winter,0.814419753,IL,Illinois,1779784
18,0.50096649,1.044839506,0.018074074,1.280564374,Winter,0.712610229,IN,Indiana,448508
19,0.363978836,0.773897707,0.061714286,1.411696649,Winter,0.647283951,IA,Iowa,1779785
20,0.355499118,0.998038801,0.491851852,1.553961199,Winter,0.859499118,KS,Kansas,481813
21,0.028289242,0.542363316,-0.195753086,0.876839506,Winter,0.320091711,KY,Kentucky,1779786
22,0.222716049,0.147428571,0.198603175,0.353876543,Winter,0.244342152,LA,Louisiana,1629543
23,1.463238095,1.308373898,1.427569665,2.882751323,Winter,1.744620811,ME,Maine,1779787
24,1.09384127,1.238546737,1.180303351,1.878320988,Winter,1.353259259,MD,Maryland,1714934
25,1.442299824,1.350744268,1.594610229,2.435160494,Winter,1.700652557,MA,Massachusetts,606926
26,1.149714286,1.692994709,1.050525573,2.46378836,Winter,1.576899471,MI,Michigan,1779789
27,1.148641975,1.444557319,0.907259259,2.716585538,Winter,1.555188713,MN,Minnesota,662849
28,-0.125728395,-0.010723104,-0.206659612,0.339202822,Winter,0.011925926,MS,Mississippi,1779790
29,0.014349206,0.726518519,0.014095238,1.200733686,Winter,0.490994709,MO,Missouri,1779791
30,0.881862434,1.465058201,1.064183422,2.260924162,Winter,1.42112522,MT,Montana,767982
31,0.541107584,1.069954145,0.5089806,1.810285714,Winter,0.989601411,NE,Nebraska,1779792
32,1.134560847,1.205530864,1.353015873,1.461305115,Winter,1.298955908,NV,Nevada,1779793
33,1.331428571,1.33361552,1.296790123,2.579851852,Winter,1.622430335,NH,New Hampshire,1779794
34,1.655731922,1.759266314,1.738723104,2.748938272,Winter,1.977276896,NJ,New Jersey,1779795
35,0.98594709,1.131640212,1.108571429,1.370483245,Winter,1.159329806,NM,New Mexico,897535
36,0.972585538,1.079308642,0.704183422,2.096084656,Winter,1.204204586,NY,New York,1779796
37,0.391407407,0.517954145,0.392268078,1.162257496,Winter,0.622179894,NC,North Carolina,1027616
38,1.115583774,1.331174603,1.000409171,3.145932981,Winter,1.654430335,ND,North Dakota,1779797
39,0.629770723,1.041961199,0.253135802,1.381022928,Winter,0.825315697,OH,Ohio,1085497
40,-0.081255732,0.421037037,0.079943563,0.944070547,Winter,0.358402116,OK,Oklahoma,1102857
41,1.301573192,1.240705467,1.613220459,1.819386243,Winter,1.50064903,OR,Oregon,1155107
42,0.744112875,0.852303351,0.533996473,1.728380952,Winter,0.967985891,PA,Pennsylvania,1779798
44,1.648733686,1.74810582,2.114864198,2.680028219,Winter,2.038867725,RI,Rhode Island,1219835
45,0.314497354,0.438137566,0.290624339,1.109432099,Winter,0.545474427,SC,South Carolina,1779799
46,0.764641975,1.054419753,0.826694885,2.315146384,Winter,1.252077601,SD,South Dakota,1785534
47,0.019880071,0.254504409,-0.017425044,0.703760141,Winter,0.242987654,TN,Tennessee,1325873
48,0.572641975,0.884670194,0.357220459,1.141262787,Winter,0.75237037,TX,Texas,1779801
49,1.357488536,1.380218695,1.702758377,1.819442681,Winter,1.580229277,UT,Utah,1455989
50,1.28843739,1.327393298,1.045333333,2.594892416,Winter,1.546557319,VT,Vermont,1779802
51,0.52064903,0.72431746,0.493474427,1.344070547,Winter,0.780045855,VA,Virginia,1779803
53,0.766603175,0.724388007,1.153326279,1.558631393,Winter,1.042772487,WA,Washington,1779804
54,0.347795414,0.544112875,0.104578483,0.98054321,Winter,0.498116402,WV,West Virginia,1779805
55,0.771964727,1.0944903,0.479661376,2.317940035,Winter,1.157654321,WI,Wisconsin,1779806
56,1.06422575,1.617749559,1.256056437,2.034271605,Winter,1.50875485,WY,Wyoming,1779807
